"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_narma_20
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 2, 1)",1.0228591340656346
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 2, 2)",1.0201817214058415
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 0, 0)",1.0390277511423305
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 0, 1)",1.01906719948236
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 0, 2)",1.0156734677678163
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 1, 0)",1.0181519434126796
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 1, 1)",1.0189471882579533
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 1, 2)",1.0309492978425083
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 2, 0)",1.025200548033373
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 2, 1)",1.020274996781767
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 2, 2)",1.0099950844006345
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 0, 0)",1.03904653010305
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 0, 1)",1.013806353379852
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 0, 2)",1.0107730864733726
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 1, 0)",1.017145188884856
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 1, 1)",1.0307955508975468
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 1, 2)",1.0128125118582418
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 2, 0)",1.014672908160732
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 2, 1)",1.0179854187677475
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 2, 2)",1.0210273387912572
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 0, 0)",1.01649376872794
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 0, 1)",1.028213663307296
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 0, 2)",1.026818312972391
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 1, 0)",1.0243311899958725
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 1, 1)",1.0290124501041036
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 1, 2)",1.0376701407154372
