"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_ppst_10
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 1, 2)",1.0300480803458705
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 2, 0)",1.0372852851210483
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 2, 1)",1.0394814776482764
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 2, 2)",1.044948568910768
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 0, 0)",1.0417715989325549
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 0, 1)",1.0413776670012416
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 0, 2)",1.0233273763606818
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 1, 0)",1.0319080212075689
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 1, 1)",1.034502221844746
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 1, 2)",1.0532430604414147
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 2, 0)",1.038117037813708
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 2, 1)",1.0398157767431553
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 2, 2)",1.0337151232365671
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 0, 0)",1.054705773551344
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 0, 1)",1.0390893124662477
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 0, 2)",1.0255693035210895
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 1, 0)",1.020451785096313
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 1, 1)",1.029587733116495
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 1, 2)",1.0279775854754725
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 2, 0)",1.0468596567860458
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 2, 1)",1.0385303488535338
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 2, 2)",1.0286283071613196
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 0, 0)",1.0438970314452014
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 0, 1)",1.0172352274265417
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 0, 2)",1.02606558720053
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 1, 0)",1.029824446124234
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 1, 1)",1.0233373114567352
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 1, 2)",1.045358058202439
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 2, 0)",1.026290275547605
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 2, 1)",1.0303279243187229
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 2, 2)",1.0372215028923717
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 0, 0)",1.036108642215632
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 0, 1)",1.030643197770461
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 0, 2)",1.0552348139682692
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 1, 0)",1.0390584857473588
